module_with_na,col_na,col_condition,module_with_condition,condition,inverse
Animal,PreservationMethodIfDead,NecropsyExam,Animal,necropsy,FALSE
Animal,ClinicalSignsIfSick,HealthStatus,Animal,"injured, sick",FALSE
Animal,ClinicalSignsOther,ClinicalSignsIfSick,Animal,other,FALSE
Animal,BatEarHeight,TaxaGroup,Animal,bats,FALSE
Animal,BatTailLength,TaxaGroup,Animal,bats,FALSE
Animal,BatHindFoodLength,TaxaGroup,Animal,bats,FALSE
Animal,BatForearmLength,TaxaGroup,Animal,bats,FALSE
Animal,BatHeadBodyLength,TaxaGroup,Animal,bats,FALSE
Animal,BatWeight,TaxaGroup,Animal,bats,FALSE
Animal,NHPBodyLength,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPHeadLength,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPRightEarWidth,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPHeadWidth,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPRightEarHeight,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPLeftEarWidth,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPLeftEarHeight,TaxaGroup,Animal,non-human primates,FALSE
Animal,NHPWeight,TaxaGroup,Animal,non-human primates,FALSE
Animal,RodentOtherRightEarHeight,TaxaGroup,Animal,rodents/shrews,FALSE
Animal,RodentOtherTailLength,TaxaGroup,Animal,rodents/shrews,FALSE
Animal,RodentOtherRHindFoot,TaxaGroup,Animal,rodents/shrews,FALSE
Animal,RodentOtherBodyLength,TaxaGroup,Animal,rodents/shrews,FALSE
Animal,RodentOtherWeight,TaxaGroup,Animal,rodents/shrews,FALSE
Animal,ReleasedAlive,ConditionAtSampling,Animal,alive (non-invasive sample collection),TRUE
Animal,NecropsyExam,ConditionAtSampling,Animal,alive (non-invasive sample collection),TRUE
Animal,NecropsyExamResult,ConditionAtSampling,Animal,alive (non-invasive sample collection),TRUE
Animal,PreservationMethodIfDead,ConditionAtSampling,Animal,alive (non-invasive sample collection),TRUE
Animal,ClinicalSignsIfSick,ConditionAtSampling,Animal,alive (non-invasive sample collection),TRUE
Animal,NecropsyExamResult,NecropsyExam,Animal,necropsy,FALSE
Animal,AnimalUseProducedSold,AnimalHumanInterfaces,Animal,"hunted, for sale in restaurant, for sale in small market (< 5 vendors), for sale in medium market (5-20 vendors), for sale in large market (> 20 vendors), at abattoir/slaughterhouse, at temporary holding facility in value chain, in transit along the value chain, animal or animal product destined for consumption",FALSE
AnimalProduction,DesignatedSlaughterArea,SlaughteredButcheredOnsite,AnimalProduction,yes,FALSE
